JournalCode	JournalLib                    	EcritureNum	EcritureDate	CompteNum    	CompteLib                          	CompAuxNum   	CompAuxLib                         	PieceRef    	PieceDate	EcritureLib                        	        Debit	       Credit	EcritureLet	DateLet 	ValidDate	Montantdevise	Idevise
AN         	A nouveaux                    	1          	20150101    	281830       	AMORTISSEMENT MATÉRIEL BUREAU ET IN	             	                                   	0           	20150101 	A Nouveau                          	0000000000,00	0000001455,97	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	281820       	AMORTISSEMENT MATÉRIEL DE TRANSPORT	             	                                   	0           	20150101 	A Nouveau                          	0000000000,00	0000000046,43	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	281540       	AMORTISSEMENT MATÉRIEL INDUSTRIEL  	             	                                   	0           	20150101 	A Nouveau                          	0000000000,00	0000045810,87	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	281500       	AMORTISSEMENTS                     	             	                                   	0           	20150101 	A Nouveau                          	0000000000,00	0000022210,00	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437700       	APST                               	             	                                   	CH5002636   	20150101 	APST                               	0000000320,52	0000000000,00	AA         	20160226	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437700       	APST                               	             	                                   	1ERS2014    	20150101 	APST 1ER T 2014                    	0000000000,00	0000000337,02	A          	20160226	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437700       	APST                               	             	                                   	CH4491294   	20150101 	APST 1ERT 2014                     	0000000337,02	0000000000,00	A          	20160226	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437700       	APST                               	             	                                   	APST        	20150101 	APST 2T 2014                       	0000000000,00	0000000320,52	AA         	20160226	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437700       	APST                               	             	                                   	30092014    	20150101 	APST 3T2014                        	0000000000,00	0000000318,81	AB         	20160226	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437700       	APST                               	             	                                   	CH9205252   	20150101 	APST 3T2014                        	0000000318,81	0000000000,00	AB         	20160226	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437700       	APST                               	             	                                   	APST4T2014  	20150101 	Cotisations APST 4T2014            	0000000000,00	0000000317,50	AC         	20160226	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	158000       	AUTRES PROVISIONS POUR CHARGES     	             	                                   	0           	20150101 	A Nouveau                          	0000000000,00	0000100000,00	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	512100       	BANQUE PRINCIPALE                  	             	                                   	0           	20150101 	A Nouveau                          	0000120318,25	0000000000,00	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	512200       	BANQUE SECONDAIRE                  	             	                                   	0           	20150101 	A Nouveau                          	0000019434,89	0000000000,00	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	101300       	CAPITAL SOUSCRIT APPELÉ VERSÉ      	             	                                   	0           	20150101 	A Nouveau                          	0000000000,00	0000007623,00	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	455001       	CCT DU GÉRANT                      	             	                                   	0           	20150101 	A Nouveau                          	0000000000,00	0000000539,85	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	486000       	CHARGES CONSTATÉES D'AVANCE        	             	                                   	0           	20150101 	A Nouveau                          	0000007041,45	0000000000,00	A          	20160225	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	486100       	CHARGES D'EXPLOIT. CONST. D'AVANCE 	             	                                   	0           	20150101 	A Nouveau                          	0000020258,00	0000000000,00	AA         	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	416000       	Clients douteux ou litigieux       	             	                                   	0           	20150101 	A Nouveau                          	0000037765,50	0000000000,00	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	416000       	Clients douteux ou litigieux       	             	                                   	31032014    	20150101 	CABINET L                          	0000000000,00	0000000963,00	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	416000       	Clients douteux ou litigieux       	             	                                   	31032014    	20150101 	CABINET M                          	0000000000,00	0000011200,00	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	416000       	Clients douteux ou litigieux       	             	                                   	31032014    	20150101 	CABINET M                          	0000000000,00	0000006800,00	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	416000       	Clients douteux ou litigieux       	             	                                   	31032014    	20150101 	CABINET M                          	0000000000,00	0000001941,20	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	416000       	Clients douteux ou litigieux       	             	                                   	F12 11 099  	20150101 	GICO 0912-12 RUE DES CLOYS         	0000000000,00	0000001856,80	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	416000       	Clients douteux ou litigieux       	             	                                   	Paye0315    	20150101 	Régularisation lettrage            	0000000000,04	0000000000,00	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	0           	20150101 	Abbatement Int non passé en paie   	0000000863,05	0000000000,00	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	PLVT        	20150101 	CN                                 	0000005275,96	0000000000,00	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	PLVT        	20150101 	CN                                 	0000004173,03	0000000000,00	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	PLVT        	20150101 	CN                                 	0000006676,53	0000000000,00	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	PLVT        	20150101 	CN                                 	0000004624,80	0000000000,00	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	25062014    	20150101 	CN                                 	0000005226,89	0000000000,00	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	PLVT        	20150101 	CN                                 	0000005722,63	0000000000,00	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	PLVT        	20150101 	CN                                 	0000005534,42	0000000000,00	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	PLVT        	20150101 	CN                                 	0000007113,40	0000000000,00	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	VRT         	20150101 	CN                                 	0000000000,00	0000000625,54	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	VRT         	20150101 	CN                                 	0000000000,00	0000000159,88	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	PLVT        	20150101 	CN                                 	0000006357,81	0000000000,00	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	PLVT        	20150101 	CN                                 	0000006720,49	0000000000,00	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	PLVT        	20150101 	CN                                 	0000005480,81	0000000000,00	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	31102014    	20150101 	CN                                 	0000000625,54	0000000000,00	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	31102014    	20150101 	CN                                 	0000000159,88	0000000000,00	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	Paye0814    	20150101 	Salaires Août 2014 - part pat.     	0000000000,00	0000004190,40	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	Paye0414    	20150101 	Salaires Avril 2014 - part pat.    	0000000000,00	0000006627,54	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	Paye1214    	20150101 	Salaires Décembre 2014 - part pat. 	0000000000,00	0000006738,65	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	Paye0214    	20150101 	Salaires Février 2014 - part pat.  	0000000000,00	0000005480,79	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	Paye0114    	20150101 	Salaires Janvier 2014 - part pat.  	0000000000,00	0000005534,51	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	Paye0714    	20150101 	Salaires Juillet 2014 - part pat.  	0000000000,00	0000005529,91	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	Paye0614    	20150101 	Salaires Juin 2014 - part pat.     	0000000000,00	0000004828,47	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	Paye0514    	20150101 	Salaires Mai 2014 - part pat.      	0000000000,00	0000005493,94	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	Paye0314    	20150101 	Salaires Mars 2014 - part pat.     	0000000000,00	0000005689,87	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	Paye1114    	20150101 	Salaires Novembre 2014 - part pat. 	0000000000,00	0000007113,45	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	Paye1014    	20150101 	Salaires Octobre 2014 - part pat.  	0000000000,00	0000006720,60	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	437600       	CNETP                              	             	                                   	Paye0914    	20150101 	Salaires Septembre 2014 - part pat.	0000000000,00	0000006621,23	A          	20160229	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	411000       	COMPTE COLLECTIF CLIENT            	DIVERS       	COMPTE COLLECTIF CLIENT            	F13 12 191  	20150101 	AGENCE DU MARCHE /80 AV            	0000004793,60	0000000000,00	           	        	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	411000       	COMPTE COLLECTIF CLIENT            	DIVERS       	COMPTE COLLECTIF CLIENT            	F14 12 147  	20150101 	ANDRE GRIFON S.A                   	0000012840,00	0000000000,00	A          	20160225	20160927	             	       
AN         	A nouveaux                    	1          	20150101    	411000       	COMPTE COLLECTIF CLIENT            	DIVERS       	COMPTE COLLECTIF CLIENT            	F14 11 137  	20150101 	27 RUE DANTON                      	0000001716,00	0000000000,00	           	        	20160927	             	       
